Ambigous_word,POS_Tag,Ambigous_word_index,Sentence1,Sentence2,Label
raise,V,"['6', '5']",we visited a farm where they raise chickens ,a few important questions were raised after the attack ,F
come,V,"['2', '2']",he s come a long way ,which letter comes before y ,F
head,N,"['1', '6']",12 head of big cattle and 14 head of branded calves ,a reduction in the assessment per head of sheep ,T
stay,V,"['1', '3']",we stayed in hawaii for a week ,i can only stay for an hour ,F
cup,N,"['1', '8']",the cup of her bra ,he wore a jock strap with a metal cup ,T
life,N,"['1', '1']",social life ,city life ,T
thing,N,"['3', '3']",she has a thing about him ,he has a thing about seafood ,T
head,N,"['1', '6']",12 head of big cattle and 14 head of branded calves ,at five years of age this head of cattle is worth perhaps  40 ,T
breath,N,"['6', '4']",he was fighting to his last breath ,he took a deep breath and dived into the pool ,T
keep,V,"['2', '2']",can i keep my old stuffed animals ,she never keeps her promises ,F
hyponym,N,"['3', '3']",dog is a hyponym of animal ,british is a hyponym of european ,T
post,N,"['7', '2']",if you hurry you ll catch the post ,this military post provides an important source of income for the town nearby ,F
touch,N,"['9', '5']",suddenly  in the crowd  i felt a touch at my shoulder ,this dish could use a touch of garlic ,F
fall,V,"['0', '4']",fall by the wayside ,we must stand or fall ,T
head,N,"['5', '5']",the beer had a large head of foam ,admission is three dollars a head ,F
scrap,N,"['4', '5']",there was not a scrap left ,she jotted it on a scrap of paper ,T
stand,N,"['4', '4']",they took a firm stand against copyright infringement ,they cut down a stand of trees ,F
block,V,"['0', '5']",block an attack ,the offensive linemen tried to block the blitz ,T
take,V,"['0', '0']",take action ,take vengeance ,T
head,N,"['1', '3']",the head of a comet ,she gave great head ,F
faith,N,"['3', '5']",he cherished the faith of a good woman ,a member of his own faith contradicted him ,F
declare,V,"['0', '0']",declare dividends ,declare bankruptcy ,F
work,V,"['4', '2']",he used pliers to work the wire into shape ,the salesman works the midwest ,F
job,N,"['4', '8']",it is always a job to contact him ,estimates of the city s loss on that job ranged as high as a million dollars ,F
bestow,V,"['0', '2']",bestow an honor on someone ,medals were bestowed on the winning team ,T
drag,N,"['3', '3']",he took a drag on his cigarette and expelled the smoke slowly ,he performed in drag ,F
grater,N,"['10', '2']",i m making coleslaw  do you know where the grater is ,modern cheese graters have more than one side so the cheese can be sliced in different ways ,T
boy,N,"['3', '3']",steve is a boy of 16 ,she made the boy brush his teeth every night ,T
strike,V,"['2', '1']",we must strike the enemy s oil fields ,panic struck me ,F
play,N,"['5', '8']",the ball was still in play ,insiders said the company s stock was in play ,T
head,N,"['1', '7']",the head of the list ,i ve got to go to the head ,F
tendency,N,"['3', '3']",fabric with a tendency to shrink ,denim has a tendency to fade ,F
gather,V,"['0', '0']",gather the close family members ,gather some stones ,F
line,N,"['12', '2']",the answer to the comprehension question can be found in the third line of the accompanying text ,a nice line of shoes ,F
corner,N,"['1', '5']",a corner on the silver market ,a piano was in one corner of the room ,F
correct,V,"['4', '0']",engineers will work to correct the effects or air resistance ,correct the mistakes ,F
split,N,"['6', '3']",he inserted the wedge into a split in the log ,he demanded his split before they disbanded ,F
cup,N,"['6', '7']",put the flag back in the cup ,he swore as the ball rimmed the cup and rolled away ,T
window,N,"['3', '4']",they had a window of less than an hour when an attack would have succeeded ,you have a twohour window of clear weather to finish working on the lawn ,T
get,V,"['3', '0']",she did nt get to chicago until after midnight ,get permission to take a few days off from work ,F
run,N,"['3', '3']",she got a run in her stocking ,i have a run in my stocking ,T
bed,N,"['6', '1']",slices of hardboiled egg on a bed of spinach ,lake bed ,F
due,N,"['3', '4']",give him his due  he is a good actor ,give the devil his due ,T
coordinate,V,"['0', '0']",coordinate our efforts ,coordinate the painters  masons  and plumbers ,T
population,N,"['2', '7']",the africanamerican population of salt lake city has been increasing ,people come and go  but the population of this town has remained approximately constant for the past decade ,T
feel,V,"['1', '1']",i feel that we need to try harder ,i felt my way cautiously through the dangerous business maneuver ,F
air,N,"['7', '4']",the flock of birds took to the air ,i need some fresh air ,T
communicate,V,"['3', '6']",many deaf people communicate with sign language ,he and his sons have nt communicated for years ,T
pull,V,"['0', '0']",pull your knees towards your chin ,pull the rope ,T
call,N,"['6', '10']",after two raises there was a call ,the characters in henry james  novels are forever paying calls on each other  usually in the parlor of some residence ,F
run,V,"['0', '1']",run riot ,we ran the ad three times ,F
application,N,"['2', '7']",a novel application of electronics to medical diagnosis ,he has tried several different word processing applications ,F
rub,N,"['5', '6']",give that lamp a good rub and see if any genies come out ,he gave the hood a quick rub ,T
see,V,"['8', '1']",you have to be a good observer to see all the details ,i saw their laughing and joking ,T
grow,V,"['4', '2']",an oak tree will grow from that acorn ,the gardener grew that acorn into an oak tree ,T
take,V,"['3', '3']",how should i take this message ,you ca nt take credit for this ,T
floor,N,"['5', '8']",the room has a wooden floor ,we spread our sleeping bags on the dry floor of the tent ,T
evil,N,"['6', '5']",attempts to explain the origin of evil in the world ,do nt go giving me evils ,T
know,V,"['1', '1']",i know that the president lied to the people ,she knew of our plan ,T
break,V,"['5', '0']",the book dealer would not break the set ,break off the negotiations ,F
carry,V,"['1', '1']",i carry these thoughts in the back of my head ,amanda carried the package from home to new york ,F
motion,N,"['3', '3']",police controlled the motion of the crowd ,he made a motion to adjourn ,F
way,N,"['4', '5']",do you know the way to the airport ,they split the loot three ways ,F
pain,N,"['1', '4']",the pain of loneliness ,the patient developed severe pain and distension ,F
flux,N,"['5', '4']",it is important to use flux when soldering or oxides on the metal will prevent a good bond ,his opinions are in flux ,F
come,V,"['3', '2']",your wish will come true ,which letter comes before y ,T
turn,V,"['0', '0']",turn your face to the wall ,turn your dance partner around ,T
time,N,"['6', '1']",it took more than half my time ,take time to smell the roses ,T
poise,V,"['1', '1']",to poise the scales of a balance ,i poised the crowbar in my hand  and waited ,T
be,V,"['2', '6']",i shall be writing to you soon ,we liked to chat while we were eating ,T
know,V,"['1', '1']",i know it s time ,she knew of our plan ,T
use,V,"['0', '2']",use the plastic bags to store the food ,we only use spanish at home ,T
call,V,"['0', '3']",call a football game ,i tried to call you all night ,F
principle,N,"['1', '1']",the principle of the internal combustion engine ,the principles of democracy ,T
see,V,"['3', '3']",i want to see whether she speaks french ,i went to see my friend mary the other day ,F
breath,N,"['2', '3']",not a breath of scandal ever touched her ,the child s breath came quickly and unevenly ,F
follow,V,"['2', '4']",can you follow her argument ,the police had been following him for weeks but they could not prove his involvement in the bombing ,F
finance,V,"['2', '2']",can we finance the addition to our home ,his parents financed his college education ,T
snap,V,"['1', '1']",to snap a whip ,to snap a fastener ,T
test,V,"['3', '1']",she does nt test well ,she tested high on the lsat and was admitted to all the good law schools ,F
air,N,"['1', '5']",an air of mystery ,the program was on the air from 9 til midnight ,F
hold,V,"['0', '5']",hold your tongue ,about a dozen animals were held inside the stockade ,F
pass,N,"['2', '4']",a mountain pass ,we got through the pass before it started to snow ,T
head,N,"['1', '3']",a head of cauliflower ,he is two heads taller than his little sister ,F
be,V,"['2', '2']",i shall be writing to you soon ,the sky is a deep blue today ,T
practice,V,"['2', '1']",you should practice playing piano every day ,pianists practice scales ,T
hand,N,"['3', '2']",on the one hand   but on the other hand ,a good hand ,F
run,V,"['0', '6']",run a new program on the mac ,my computer is too old to run the new os ,T
origin,N,"['1', '0']",mineral origin ,origin in sensation ,T
crystallize,V,"['3', '2']",he tried to crystallize his thoughts ,my ideas crystallized overnight ,T
treat,V,"['3', '0']",i like to treat myself to a day at a spa when i am depressed ,treat the infection with antibiotics ,F
rise,V,"['0', '2']",rise to a challenge ,the building rose before them ,F
acknowledge,V,"['2', '4']",we must acknowledge the kindness she showed towards us , they his gifts acknowledged none   john milton ,T
fatigue,N,"['5', '5']",he was hospitalized for extreme fatigue ,he was suffering from museum fatigue ,F
load,V,"['0', '1']",load the camera ,he loaded his gun carefully ,T
cut,V,"['0', '2']",cut paper dolls ,the vietnamese cut a lot of timber while they occupied cambodia ,F
hold,V,"['0', '0']",hold in place ,hold your breath ,F
charge,N,"['5', '5']",this cartridge has a powder charge of 50 grains ,the battery needed a fresh charge ,F
run,N,"['3', '4']",she got a run in her stocking ,the ship made its run in record time ,F
term,N,"['2', '2']",a prison term ,the general term of an algebraic equation of the nth degree ,F
find,V,"['6', '1']",these aspects of civilization do not find expression or receive an interpretation ,she found that he had lied to her ,F
refill,N,"['3', '3']",he got a refill for his notebook ,he got a refill for his ballpoint pen ,T
optimization,N,"['2', '2']",in an optimization problem we seek values of the variables that lead to an optimal value of the function that is to be optimized ,the simultaneous optimization of growth and profitability ,T
